datetime,open,high,low,close,volume
2023-01-27 12:55:00,176.91,177.4,176.89,177.0804,499948
2023-01-27 12:56:00,177.0772,177.5,177.06,177.27,503517
2023-01-27 12:57:00,177.26,177.38,177.11,177.1999,312149
2023-01-27 12:58:00,177.19,177.445,177.133,177.3001,350157
2023-01-27 12:59:00,177.3,177.37,176.75,176.9,617734
2023-01-27 13:00:00,176.87,177.18,176.65,176.6868,472420
2023-01-27 13:01:00,176.6777,177.35,176.57,177.17,676697
2023-01-27 13:02:00,177.15,177.1586,176.6801,176.8482,375108
2023-01-27 13:03:00,176.83,176.91,176.56,176.58,323820
2023-01-27 13:04:00,176.59,176.83,176.4045,176.7899,464925
2023-01-27 13:05:00,176.7665,177.04,176.7,176.94,430621
2023-01-27 13:06:00,176.9419,177.36,176.9301,177.18,595929
2023-01-27 13:07:00,177.17,177.25,177.01,177.2468,322772
2023-01-27 13:08:00,177.24,177.28,176.84,176.99,340681
2023-01-27 13:09:00,176.9702,177.16,176.92,177.0115,330748
2023-01-27 13:10:00,177.0113,177.25,176.87,177.06,416967
2023-01-27 13:11:00,177.02,177.03,176.7,176.8,399649
2023-01-27 13:12:00,176.803,177.085,176.75,177.0665,501905
2023-01-27 13:13:00,177.04,177.08,176.74,176.8199,311612
2023-01-27 13:14:00,176.8155,177,176.7504,176.93,219002
2023-01-27 13:15:00,176.93,177.44,176.87,177.4094,650357
2023-01-27 13:16:00,177.4,177.95,177.3,177.805,878228
2023-01-27 13:17:00,177.79,178.38,177.57,178.36,1083707.0
2023-01-27 13:18:00,178.3723,178.42,177.91,177.9415,627292
2023-01-27 13:19:00,177.9356,178.43,177.93,178.41,531730
2023-01-27 13:20:00,178.4104,178.44,178.02,178.2201,455732
2023-01-27 13:21:00,178.2234,178.35,178.13,178.31,381828
2023-01-27 13:22:00,178.3,178.75,178.3,178.7087,804082
2023-01-27 13:23:00,178.7,179.45,178.6,179.412,1258813.0
2023-01-27 13:24:00,179.4032,179.88,179.3,179.746,1134303.0
2023-01-27 13:25:00,179.75,179.932,179.65,179.9095,855697
2023-01-27 13:26:00,179.905,180.45,179.8,180.2638,1512087.0
2023-01-27 13:27:00,180.262,180.262,179.21,179.69,1282787.0
2023-01-27 13:28:00,179.71,179.87,179.45,179.64,566827
2023-01-27 13:29:00,179.62,179.69,179.37,179.5,463275
2023-01-27 13:30:00,179.51,179.74,179.47,179.57,491514
2023-01-27 13:31:00,179.5736,179.58,178.75,178.7572,854862
2023-01-27 13:32:00,178.7201,179.1891,178.62,179.06,671008
2023-01-27 13:33:00,179.06,179.09,178.74,179.03,444272
2023-01-27 13:34:00,179.0495,179.2657,178.85,178.91,462400
2023-01-27 13:35:00,178.885,179.23,178.81,179.17,409306
2023-01-27 13:36:00,179.1899,179.39,178.99,179.1239,484517
2023-01-27 13:37:00,179.14,179.2774,178.99,179.09,420492
2023-01-27 13:38:00,179.1,179.17,178.99,179.1401,377272
2023-01-27 13:39:00,179.14,179.35,178.7,179.2054,613173
2023-01-27 13:40:00,179.19,179.23,178.85,178.97,348448
2023-01-27 13:41:00,178.9881,179.1699,178.9,179.0425,406645
2023-01-27 13:42:00,179.04,179.53,179.04,179.43,593861
2023-01-27 13:43:00,179.43,179.4392,179.02,179.1204,420607
2023-01-27 13:44:00,179.11,179.1899,178.99,179.06,324976
2023-01-27 13:45:00,179.0685,179.29,179,179.24,320098
2023-01-27 13:46:00,179.235,179.52,179.22,179.4,535719
